tozeret_cd,degem_cd
637,491
751,382
299,73
416,121
771,45
885,357
683,271
322,13
845,62
588,191
588,431
862,10
771,170
839,28
751,45
588,181
940,68
299,73
185,151
481,21
322,13
413,491
481,232
481,1021
845,62
299,73
253,101
730,91
724,49
734,291
724,2451
817,166
299,73
751,73
299,61
751,146
839,21
981,11
637,481
322,13
839,181
839,32
588,311
299,64
590,29
727,400
588,83
778,185
683,71
588,1
751,56
778,84
19,26
253,65
481,308
143,399
588,39
299,62
817,981
588,50
940,29
751,29
771,170
743,23
751,45
413,871
588,2
593,4
676,46
143,681
299,63
279,15
253,17
724,1802
845,88
593,807
683,331
279,15
253,62
299,63
778,119
588,93
481,302
588,2
672,35
416,121
590,98
839,28
312,18
481,211
637,601
588,781
413,44
734,51
885,117
940,54
817,37
845,72
653,2
155,81
845,7
739,46
416,85
885,191
544,14
588,39
281,202
676,224
885,117
771,91
885,1081
734,102
885,1081
481,7
845,62
845,32
413,641
187,18
380,4
187,29
588,2
751,64
676,2331
647,9
413,871
416,122
237,21
19,559
19,3211
751,28
588,231
185,151
588,282
676,2471
187,27
751,761
481,165
676,871
885,1081
430,81
743,32
734,291
730,321
481,308
885,1081
253,65
322,13
322,13
739,236
588,792
253,64
676,224
299,63
676,1991
299,61
885,293
322,13
739,299
683,341
751,35
481,158
672,5
312,19
299,23
299,59
730,8
380,4
885,1081
845,7
981,10
704,3
430,31
413,651
413,881
322,13
730,6
683,61
940,8
312,18
413,651
817,791
778,184
322,13
312,18
650,741
739,39
253,65
683,71
451,25
839,2
299,61
672,13
771,170
778,721
299,23
413,651
74,124
672,21
968,26
253,54
653,8
739,224
430,25
683,11
237,37
388,43
588,191
253,35
624,54
588,361
430,43
973,3
676,208
885,357
413,271
237,37
724,2451
312,5
322,13
451,25
413,871
253,101
647,9
404,104
188,9
237,37
388,302
588,801
724,49
413,94
404,30
973,65
845,87
730,16
624,60
237,37
731,26
104,170
413,491
253,98
885,167
676,995
672,81
481,299
312,18
346,511
33,120
739,188
312,19
928,18
103,58
413,641
253,96
650,1281
778,67
253,96
778,183
676,995
588,21
103,58
647,9
990,82
590,104
845,74
845,29
588,76
676,414
103,58
481,441
413,1001
346,8
481,681
839,32
885,1081
32,23
845,74
845,74
940,8
743,29
817,178
92,30
704,13
187,31
502,51
253,36
739,224
143,4
496,148
817,901
683,211
590,42
739,217
188,1
416,86
771,179
778,183
730,8
739,39
676,294
940,54
771,66
739,2451
481,157
734,102
481,157
839,28
928,55
751,46
885,286
724,1341
