tozeret_cd,degem_cd,year,ignition,gearbox,gear,piston,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,fuel
388,951,2010,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,4.0,6000.0,32.6,1750.0,8.9,205.0,8.8,11.2,11.7,,,,,,ABS + EBD + BAS,יש,462.8,189.1,171.3,277.4,495.0,,1710.0,,,70.0
388,961,2010,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,4.0,6000.0,32.6,1750.0,8.9,205.0,8.8,11.2,11.7,,,,,,ABS + EBD + BAS,יש,462.8,189.1,171.3,277.4,495.0,,1710.0,,,70.0
388,941,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,4.0,6000.0,32.6,1750.0,8.9,205.0,8.8,11.2,11.7,,,,,,ABS + EBD + BAS,יש,462.8,189.1,171.3,277.4,495.0,,1710.0,,,70.0
388,951,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,4.0,6000.0,32.6,1750.0,8.9,205.0,8.8,11.2,11.7,,,,,,ABS + EBD + BAS,יש,462.8,189.1,171.3,277.4,495.0,,1710.0,,,70.0
388,961,2011,קדמית,אוטומטית - רובוטית כפולת מצמדים,6.0,4.0,6000.0,32.6,1750.0,8.9,205.0,8.8,11.2,11.7,,,,,,ABS + EBD + BAS,יש,462.8,189.1,171.3,277.4,495.0,,1710.0,,,70.0
388,1442,2010,קדמית,אוטומטית - רובוטית כפולת מצמדים,5.0,5.0,6000.0,23.4,4400.0,8.9,215.0,,,10.9,,,,,,ABS + EBD,יש,447.0,177.0,145.0,264.0,404.0,,1369.0,,,62.0
571,11,2019,קדמית,אוטומטית - טיפטרוניק,8.0,4.0,5500.0,35.7,1500.0,6.8,230.0,11.0,17.9,15.2,,,,,,ABS + EBD + BAS,יש,496.3,187.9,144.2,294.1,500.0,,1801.0,,,55.0
571,11,2020,קדמית,אוטומטית - טיפטרוניק,8.0,4.0,5500.0,35.7,1800.0,6.8,230.0,11.9,17.9,,,,,,,ABS + EBD + BAS,יש,496.3,187.9,144.2,294.1,500.0,,1801.0,,,55.0
571,16,2020,קדמית,אוטומטית - טיפטרוניק,8.0,4.0,5500.0,35.7,1800.0,6.8,230.0,11.9,17.9,,,,,,,ABS + EBD + BAS,יש,496.3,187.9,144.2,294.1,500.0,,1801.0,,,55.0
571,24,2020,קדמית,אוטומטית - טיפטרוניק,8.0,4.0,5500.0,35.7,1800.0,6.8,230.0,11.9,17.9,,,,,,,ABS + EBD + BAS,יש,496.3,187.9,144.2,294.1,500.0,,1801.0,,,55.0
571,34,2020,קדמית,אוטומטית - טיפטרוניק,8.0,4.0,5500.0,35.7,1800.0,6.8,230.0,11.9,17.9,,,,,,,ABS + EBD + BAS,יש,496.3,187.9,144.2,294.1,500.0,,1801.0,,,55.0
571,13,2020,קדמית,אוטומטית - טיפטרוניק,8.0,4.0,5000.0,30.6,1700.0,7.9,205.0,11.3,16.4,14.0,,,,,,ABS + EBD + BAS,יש,468.8,190.2,165.8,286.5,483.0,1432.0,1814.0,,,71.0
187,1,2014,כפולה (4X4),ידנית,5.0,4.0,3400.0,35.0,1600.0,13.3,170.0,11.6,15.2,13.7,,,,,,ABS + EBD + BAS,אין,525.5,176.0,182.0,308.5,,,1800.0,2690.0,890.0,80.0
187,28,2014,כפולה (4X4),ידנית,5.0,4.0,3400.0,35.0,1600.0,13.3,170.0,11.6,15.2,13.7,,,,,,ABS + EBD + BAS,אין,525.5,176.0,182.0,308.5,,,1800.0,2690.0,890.0,80.0
187,2,2014,כפולה (4X4),אוטומטית,5.0,4.0,3600.0,36.7,1400.0,12.0,175.0,9.2,13.7,11.6,,,,,,ABS + EBD + BAS,אין,525.5,183.5,182.0,308.5,,,1920.0,2730.0,810.0,80.0
187,27,2014,כפולה (4X4),אוטומטית,5.0,4.0,3600.0,36.7,1400.0,12.0,175.0,9.2,13.7,11.6,,,,,,ABS + EBD + BAS,אין,525.5,183.5,182.0,308.5,,,1920.0,2730.0,810.0,80.0
187,40,2014,כפולה (4X4),אוטומטית,5.0,4.0,3600.0,36.7,1400.0,12.0,175.0,9.2,13.7,11.6,,,,,,ABS + EBD + BAS,אין,525.5,183.5,182.0,308.5,,,1920.0,2730.0,810.0,80.0
187,5,2015,כפולה (4X4),ידנית,6.0,4.0,3400.0,40.8,1600.0,,170.0,11.2,15.6,13.7,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2020.0,2910.0,890.0,80.0
187,5,2016,כפולה (4X4),ידנית,6.0,4.0,3400.0,40.8,1600.0,,170.0,12.2,15.9,14.3,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2060.0,2910.0,850.0,80.0
187,7,2016,כפולה (4X4),ידנית,6.0,4.0,3400.0,40.8,1600.0,,170.0,12.2,15.9,14.3,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2060.0,2910.0,850.0,80.0
187,9,2016,כפולה (4X4),ידנית,6.0,4.0,3400.0,40.8,1600.0,,170.0,12.2,15.9,14.3,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2060.0,2910.0,850.0,80.0
187,23,2016,כפולה (4X4),ידנית,6.0,4.0,3400.0,40.8,1600.0,,170.0,12.2,15.9,14.3,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2060.0,2910.0,850.0,80.0
187,36,2016,כפולה (4X4),ידנית,6.0,4.0,3400.0,40.8,1600.0,,170.0,12.2,15.9,14.3,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2060.0,2910.0,850.0,80.0
187,6,2015,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,9.4,14.3,12.0,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2060.0,2910.0,850.0,80.0
187,6,2016,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
187,8,2016,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
187,24,2016,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
187,29,2016,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
187,37,2016,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
187,6,2017,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
187,8,2017,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,4.0,3400.0,40.8,1600.0,,170.0,10.5,14.9,12.8,,,,,,ABS + EBD + BAS,יש,533.0,185.5,181.0,308.5,,,2100.0,2910.0,810.0,80.0
