,Unnamed: 0_x,Unnamed: 0.1,tozeret_cd,tozar,kinuy_mishari,ramat_gimur_x,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm_x,automatic_ind,mispar_halonot_hashmal,merkav,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,technologiat_hanaa_cd,technologiat_hanaa_nm,n_model,Unnamed: 0_y,make,model,ramat_gimur_y,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm_y,sitting.1,engine_cd
693,11273,11273,33,אופל,GRANDLAND X,ENJOY,2020,165,3,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
694,60875,60875,968,אופל,GRANDLAND X,ENJOY,2020,19,4,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
695,60875,60875,968,אופל,GRANDLAND X,ENJOY,2020,19,4,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
696,60877,60877,968,אופל,GRANDLAND X,INNOVATION,2020,20,5,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
697,60877,60877,968,אופל,GRANDLAND X,INNOVATION,2020,20,5,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
698,60880,60880,968,אופל,GRANDLAND X,ENJOY,2020,21,4,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
699,60880,60880,968,אופל,GRANDLAND X,ENJOY,2020,21,4,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
700,60882,60882,968,אופל,GRANDLAND X,INNOVATION,2020,22,5,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
701,60882,60882,968,אופל,GRANDLAND X,INNOVATION,2020,22,5,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
702,60887,60887,968,אופל,GRANDLAND X,ENJOY,2020,25,3,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
703,60887,60887,968,אופל,GRANDLAND X,ENJOY,2020,25,3,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
704,60888,60888,968,אופל,GRANDLAND X,INNOVATION,2020,26,4,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
705,60888,60888,968,אופל,GRANDLAND X,INNOVATION,2020,26,4,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
706,60890,60890,968,אופל,GRANDLAND X,ENJOY,2020,27,3,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,185,אופל,גרנדלנד X,ENJOY,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
707,60890,60890,968,אופל,GRANDLAND X,ENJOY,2020,27,3,1199,2000,,1.0,4X2,1,4,פנאי-שטח,1,בנזין,5,130,5,,הנעה רגילה,גרנדלנד X,186,אופל,גרנדלנד X,INNOVATION,2020,5,5,קדמית,אוטומטית - טיפטרוניק,8.0,טורבו בנזין,3.0,1199.0,130,5500.0,23.4,1750.0,10.4,188,16.4,20.4,18.9,,,,,,ABS + EBD + BAS,6,יש,יש,447.7,185.6,160.9,267.5,514.0,1652.0,1318.0,,,696.0,1300.0,225/55R18,53.0,2X4,5,1
