tozeret_cd,degem_cd
413,501
301,13
734,71
730,115
778,138
588,201
751,721
413,871
588,147
724,226
722,217
676,308
653,11
637,11
481,442
676,1061
588,201
885,39
481,561
676,1771
413,871
253,18
588,281
413,491
724,1341
676,1491
502,51
481,442
653,11
778,137
481,550
885,177
481,211
430,121
624,1000
778,137
845,40
751,721
653,11
413,501
961,79
731,261
845,25
885,177
839,111
722,216
281,52
481,442
839,111
885,177
653,11
845,12
481,71
281,52
281,52
751,721
961,76
588,201
413,1171
634,100
143,609
845,30
481,211
413,1181
481,16
885,165
299,7
299,21
413,871
830,51
416,122
845,12
839,21
299,63
588,431
683,641
751,761
413,68
817,482
413,1001
413,1001
416,122
590,76
885,1031
676,548
299,63
588,781
845,62
590,511
588,201
637,491
885,15
481,441
413,881
413,871
593,9
839,32
839,21
637,481
676,552
416,122
588,781
603,2
481,6
404,82
322,5
481,881
413,1001
588,781
603,2
603,9
588,781
481,931
299,73
590,29
588,781
413,1001
322,20
593,52
637,531
481,99
588,281
869,521
637,481
778,102
413,871
603,2
817,482
413,881
590,29
603,2
413,881
413,1001
481,15
885,105
481,137
301,187
588,781
551,53
413,541
885,152
778,138
481,561
962,10
885,7
481,532
676,1491
481,561
588,291
676,1511
588,1
413,1001
481,144
676,408
676,1141
413,881
481,15
416,59
413,871
103,171
143,579
588,781
502,1
588,781
751,721
430,141
704,20
778,137
481,71
413,871
430,141
481,78
724,132
588,291
724,105
143,579
676,409
751,471
973,65
885,152
724,105
430,141
253,33
676,407
724,103
588,201
588,291
322,20
143,549
481,113
885,29
672,71
724,132
481,15
672,21
481,15
588,291
676,721
840,34
413,1011
727,1
588,291
845,55
715,19
588,281
253,101
845,55
481,113
312,14
845,55
778,95
712,4
751,721
588,1
676,559
676,353
771,5
845,55
253,18
676,455
962,29
588,431
481,113
676,559
588,281
588,661
588,781
588,281
413,501
885,177
676,569
481,1611
676,1781
413,501
588,281
588,661
751,721
778,252
839,151
845,27
588,292
845,55
885,127
839,151
676,414
845,55
885,15
588,292
771,5
588,292
588,661
650,4211
588,292
637,231
839,151
588,431
603,9
676,552
481,11
588,292
683,901
751,721
299,11
845,55
730,6
676,623
845,55
185,11
481,84
603,3
650,54
590,93
21,99
811,17
588,143
734,121
588,15
253,18
496,58
751,511
312,19
961,8
885,208
650,84
481,22
672,13
885,208
885,208
590,79
676,548
728,63
590,401
650,83
650,83
590,631
603,3
885,208
590,631
588,661
845,55
728,71
676,552
496,37
845,55
961,7
156,151
981,2
551,68
496,37
650,55
734,102
413,641
413,641
845,55
253,35
650,104
413,641
253,22
739,821
650,67
650,43
961,231
839,6
885,208
775,28
650,65
845,55
388,113
156,5
299,19
603,24
973,59
593,201
301,37
771,4
650,1001
778,184
588,1
751,15
588,781
590,511
481,791
588,1
413,871
588,431
413,871
481,211
281,32
961,75
413,1800
590,511
413,871
771,421
724,1341
715,19
771,6
778,172
588,1
413,871
653,10
650,801
885,19
676,342
413,881
588,281
590,511
430,161
751,15
590,431
299,28
430,121
973,69
885,144
973,83
739,1931
588,281
590,511
973,83
312,491
588,1
683,641
430,161
727,1
481,211
734,71
299,31
885,144
281,32
322,21
430,161
676,308
961,75
724,2741
588,1
590,431
413,881
322,20
590,431
724,2141
751,223
751,222
430,141
590,431
322,4
481,113
751,223
734,101
301,102
481,442
588,431
603,2
751,223
413,50
734,101
590,372
751,8
676,292
724,262
845,34
588,431
751,721
885,166
413,1001
603,2
751,223
299,23
590,372
588,431
430,141
778,123
981,23
361,121
481,92
751,223
751,222
715,19
727,230
845,32
751,223
739,1890
299,11
590,431
139,9
751,223
751,721
672,71
590,431
637,481
413,881
751,223
676,548
322,20
588,281
481,113
676,226
981,23
739,1411
299,23
588,281
981,23
751,721
322,21
593,12
416,122
603,2
590,83
676,552
590,26
299,19
413,881
593,3
268,7
593,182
590,84
299,26
776,39
676,645
481,441
751,109
413,82
413,881
653,21
778,52
603,23
481,441
734,91
413,871
593,2001
672,70
676,552
481,441
845,23
771,110
845,25
940,57
590,84
588,201
588,201
299,63
590,29
845,25
637,25
672,21
588,391
413,871
676,583
590,29
650,801
751,122
839,32
413,1001
481,441
481,106
590,82
839,21
588,781
637,581
416,122
481,441
312,501
885,1071
715,271
413,1001
973,69
322,4
481,642
839,111
281,52
481,92
637,11
481,161
676,414
143,569
481,31
413,881
973,69
588,201
722,207
885,240
413,501
695,25
845,1
650,611
588,291
281,52
588,431
637,471
885,118
143,609
778,138
588,201
413,881
588,781
481,442
722,215
676,1141
588,201
481,441
481,442
588,431
722,195
724,279
624,361
885,165
961,76
481,15
695,25
481,58
885,177
845,32
416,15
973,57
839,191
413,501
885,146
481,113
413,2021
885,144
845,1
481,15
588,781
885,144
778,158
413,1141
637,481
413,871
683,851
481,211
481,441
973,69
650,801
588,119
416,67
885,177
588,661
885,177
603,45
712,51
253,141
676,548
481,15
590,850
603,12
676,414
961,77
481,61
481,114
481,113
590,121
961,75
676,1141
588,291
751,761
253,24
481,113
676,1141
253,24
845,12
961,77
704,11
961,25
588,431
624,120
845,29
590,84
139,600
590,1500
778,138
588,661
139,600
778,122
588,801
588,157
778,125
139,600
845,29
751,761
722,137
481,6
590,94
724,207
19,373
459,21
481,791
650,801
885,29
778,122
481,2000
650,801
727,27
481,92
590,76
676,559
730,321
962,28
281,202
430,121
590,121
650,801
715,4
603,3
481,113
588,661
413,871
413,1800
676,1781
253,101
637,521
481,113
603,10
588,431
413,871
423,15
322,21
312,14
481,11
413,501
481,113
778,103
845,53
727,1
778,122
845,54
724,16
839,2
481,113
588,281
730,6
19,674
413,871
928,6
778,183
724,16
413,501
778,165
481,951
481,137
322,21
413,501
416,84
845,29
778,87
588,281
676,552
588,281
683,631
715,64
778,52
845,32
845,32
676,287
676,1691
730,6
724,226
778,114
683,851
845,43
481,961
19,570
268,16
588,661
588,252
676,1141
299,11
413,491
839,3
885,208
403,13
845,55
177,19
603,3
885,208
775,28
588,281
845,55
346,23
156,5
885,208
590,79
739,2261
676,615
676,548
650,65
676,615
74,43
751,521
676,615
845,55
650,65
734,102
590,511
481,361
845,32
650,67
737,34
845,55
650,66
839,3
778,67
885,208
775,28
650,77
839,3
885,208
751,511
588,431
739,1791
155,3
676,584
676,615
845,36
676,584
322,21
817,18
845,55
603,7
817,2
739,751
650,83
751,282
481,166
590,65
885,208
603,10
588,181
775,28
683,631
301,175
603,7
704,19
481,114
724,207
840,34
139,12
845,25
724,87
676,287
588,1
590,431
845,32
724,79
590,511
715,78
590,511
588,391
413,881
588,1
839,151
771,481
973,105
650,300
751,223
715,32
961,75
299,28
301,101
299,21
845,32
724,379
590,511
413,1001
481,24
301,101
19,1692
590,511
676,294
281,52
301,101
603,2
413,50
312,61
734,101
771,5
676,353
481,211
603,2
751,224
481,211
839,171
778,137
751,162
413,881
727,140
676,349
413,900
845,81
588,431
322,20
413,1001
590,431
637,601
885,152
312,61
19,1582
322,20
624,1101
481,191
413,1001
588,661
588,661
253,101
676,608
481,96
481,931
603,9
845,25
481,670
704,16
430,121
845,29
590,1300
588,661
845,12
588,291
253,101
845,24
676,409
588,431
