,Unnamed: 0_x,Unnamed: 0.1,tozeret_cd,tozar,kinuy_mishari,ramat_gimur_x,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm_x,automatic_ind,mispar_halonot_hashmal,merkav,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,technologiat_hanaa_cd,technologiat_hanaa_nm,n_model,Unnamed: 0_y,make,model,ramat_gimur_y,year,doors,sitting,ignition,gearbox,gear,engine,piston,capacity,power,loops,moment,loopmoment,acceleration,speed,urban_consumption,intercity_consumption,consumption,electricity_use,battery_capacity,electric_range,home_charging_time,fast_charging_time,brake,airbag,stability,cenairbag,length,width,height,wheel,cargo,chaircargo,selfweight,totalweight,loading,towing_without_brakes,towing_with_brakes,tire,fuel,hanaa_nm_y,sitting.1,engine_cd
71,11201,11201,33,אופל,ADAM,ROCKS,2016,128,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,18,אופל,אדם רוקס,1,2016,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,215/45R17,35.0,2X4,4,1
72,11201,11201,33,אופל,ADAM,ROCKS,2016,128,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,19,אופל,אדם רוקס,2,2016,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,225/35R18,35.0,2X4,4,1
73,11120,11120,33,אופל,ADAM,JAM STS,2017,82,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
74,11120,11120,33,אופל,ADAM,JAM STS,2017,82,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
75,11124,11124,33,אופל,ADAM,ROCKS,2017,84,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
76,11124,11124,33,אופל,ADAM,ROCKS,2017,84,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
77,11132,11132,33,אופל,ADAM,UNLIMITED,2017,88,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
78,11132,11132,33,אופל,ADAM,UNLIMITED,2017,88,1,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
79,11200,11200,33,אופל,ADAM,ROCKS,2017,127,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
80,11200,11200,33,אופל,ADAM,ROCKS,2017,127,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,16,אופל,אדם רוקס,,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,12.5,176,16.1,25.0,20.8,,,,,,ABS + EBD + BAS,6,יש,יש,374.7,172.0,150.3,231.1,170.0,663.0,1135.0,,,,,195/55R16,35.0,2X4,4,1
81,11202,11202,33,אופל,ADAM,ROCKS,2017,128,2,1398,1480,,1.0,4X2,1,2,הצ'בק,1,בנזין,3,87,4,,הנעה רגילה,אדם,4,אופל,אדם,JAM,2017,3,4,קדמית,אוטומטית - רובוטית מצמד יחיד,5.0,בנזין,4.0,1398.0,87,6000.0,13.2,4000.0,13.9,178,15.2,24.4,20.0,,,,,,ABS + EBD + BAS,6,יש,יש,369.8,172.0,148.4,231.1,170.0,663.0,1120.0,,,,,185/65R15,35.0,2X4,4,1
