tozeret_cd,degem_cd
637,1
743,81
481,157
588,292
588,4
496,72
588,292
502,3
301,157
885,1161
771,110
430,13
962,8
715,481
502,1
739,97
430,5
603,812
739,1961
177,18
502,1
496,56
588,100
481,1161
19,28
496,56
830,52
127,1508
430,13
588,48
590,103
404,90
253,101
676,1054
416,122
683,331
481,670
413,52
928,18
430,171
416,55
416,125
413,46
413,661
590,104
413,651
588,201
459,71
481,15
416,55
590,98
588,76
413,48
413,651
724,46
430,171
590,98
839,201
672,48
404,50
676,1063
590,104
590,98
413,52
676,1063
603,12
481,21
676,1062
734,201
590,112
588,39
588,201
413,2071
676,1062
413,2071
727,461
416,122
588,50
413,651
839,26
588,48
590,104
588,76
187,29
416,125
413,651
885,53
771,195
590,104
346,8
885,396
715,431
413,2071
624,60
590,103
413,651
139,2
413,2071
143,198
588,201
771,169
650,1241
771,451
588,751
624,61
731,2
727,1
588,292
588,801
650,861
653,11
885,103
588,55
588,801
817,22
885,192
751,120
961,321
588,201
839,101
430,13
885,103
416,116
839,3
588,752
593,401
653,11
588,31
588,292
413,44
771,204
739,4922
588,292
734,271
346,891
771,481
724,37
771,169
416,146
593,1011
653,11
928,55
817,14
404,39
885,43
650,861
588,641
724,34
593,401
481,162
588,2
588,21
653,11
156,901
650,861
588,431
502,4
624,61
734,291
593,401
593,401
253,101
481,162
253,101
683,520
590,191
961,60
624,42
481,162
973,21
650,2381
253,101
481,15
771,207
839,2
590,101
253,101
253,101
481,15
481,162
731,2
481,15
481,162
481,157
885,208
481,15
771,5
416,85
839,2
739,4951
312,62
845,47
253,101
253,101
588,781
588,49
253,101
806,10
416,33
588,431
676,4
502,1
961,43
650,2371
778,1231
481,71
253,64
676,1
544,14
177,21
885,220
481,1021
588,431
502,51
502,51
481,21
502,81
481,182
588,271
590,101
839,3
845,32
253,62
776,33
734,131
502,51
588,431
177,18
727,27
430,12
590,71
839,2
413,651
650,1011
430,15
885,252
114,241
885,1161
416,149
127,1506
588,50
114,241
155,121
