tozeret_cd,tozar,kinuy_mishari,ramat_gimur,shnat_yitzur,degem_cd,kvuzat_agra_cd,nefah_manoa,mishkal_kolel,gova,hanaa_cd,hanaa_nm,automatic_ind,mispar_halonot_hashmal,halon_bagg_ind,galgaley_sagsoget_kala_ind,argaz_ind,merkav,sug_degem,delek_cd,delek_nm,mispar_dlatot,koah_sus,mispar_moshavim,bakarat_yatzivut_ind,kosher_grira_im_blamim,kosher_grira_bli_blamim,technologiat_hanaa_cd,technologiat_hanaa_nm,bakarat_stiya_menativ_ind,bakarat_stiya_menativ_makor_hatkana,nitur_merhak_milfanim_ind,nitur_merhak_milfanim_makor_hatkana,zihuy_beshetah_nistar_ind,bakarat_shyut_adaptivit_ind,zihuy_holchey_regel_ind,zihuy_holchey_regel_makor_hatkana,maarechet_ezer_labalam_ind,matzlemat_reverse_ind,hayshaney_lahatz_avir_batzmigim_ind,hayshaney_hagorot_ind,teura_automatit_benesiya_kadima_ind,shlita_automatit_beorot_gvohim_ind,shlita_automatit_beorot_gvohim_makor_hatkana,zihuy_matzav_hitkarvut_mesukenet_ind,zihuy_tamrurey_tnua_ind,zihuy_rechev_do_galgali,zihuy_tamrurey_tnua_makor_hatkana,bakarat_stiya_activ_s,blima_otomatit_nesia_leahor,bakarat_mehirut_isa,n_model
139,מזדה,BT50,DLX,2009,17,5,2500,2870,163.0,1.0,4X2,1,4,0,1,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2010,17,5,2500,2870,163.0,1.0,4X2,1,4,0,1,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2007,20,4,2500,2855,163.0,1.0,4X2,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,0,0,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2007,21,4,2500,2855,163.0,1.0,4X2,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2008,21,4,2500,2855,163.0,1.0,4X2,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2009,21,4,2500,2855,163.0,1.0,4X2,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DX,2010,21,5,2500,2855,163.0,1.0,4X2,0,4,0,0,0,תא כפול,M,2,דיזל,4,143,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2009,22,6,2953,2995,176.0,3.0,4X4,1,4,0,1,0,תא כפול,M,2,דיזל,4,156,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
139,מזדה,BT50,DLX,2010,22,6,2953,2995,176.0,3.0,4X4,1,4,0,1,0,תא כפול,M,2,דיזל,4,156,5,0,1600,750,,הנעה רגילה,0,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,BT50
588,מזדה,CX5,EXECUTIVE,2014,1,5,2488,2075,167.0,3.0,4X4,1,4,1,1,0,פנאי-שטח,M,1,בנזין,5,188,5,1,750,750,,הנעה רגילה,0,,0,,0,0,0,,1,0,1,1,1,0,,0,0,0,,0,0,0,CX5
