Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ
266,ניסאן,Q30,SPORT,2018,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215,13.3,19.6,17.2,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,יש,יש,אין,אין,--,442.5,180.5,147.5,270.0,430,--,1573,750,1400,235/45R19,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,יש,בד משולב עור,אין,מלפנים,אין,LED,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,מראות צד + פנים,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,"פנסים עוקבי פניה, דוושות אלומיניום, מושבי ספורט, מערכת שמע משודרגת מתוצרת BOSE",2X4,1,1,--
267,ניסאן,Q30,PREMIUM,2019,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215,13.3,20.4,17.2,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,אין,--,442.5,180.5,149.5,270.0,430,--,1545,750,1400,235/50R18,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,0,1,יש,בד,אין,מלפנים,אין,רגילים,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,מראות צד + פנים,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,--,2X4,1,1,--
268,ניסאן,Q30,SPORT,2017,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215,13.3,19.6,17.2,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,יש,יש,אין,אין,--,442.5,180.5,147.5,270.0,430,--,1573,750,1400,235/45R19,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,יש,בד משולב עור,אין,מלפנים,אין,רגילים,יש,יש,אין,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,אין,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,"פנסים עוקבי פניה, דוושות אלומיניום, מושבי ספורט, מערכת שמע משודרגת מתוצרת BOSE",2X4,1,1,--
269,ניסאן,Q30,SPORT,2019,5,5,--,6,--,--,--,2015,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1991,211,5500,35.6,1400,7.3,230,11.4,18.8,14.9,--,--,--,--,--,13,13,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,יש,יש,אין,אין,--,442.5,180.5,147.5,270.0,430,--,1641,750,1800,235/45R19,56,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,יש,בד משולב עור,אין,מלפנים,אין,LED,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,מראות צד + פנים,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,"פנסים עוקבי פניה, דוושות אלומיניום, מושבי ספורט, מערכת שמע משודרגת מתוצרת BOSE, מתלים ספורטיביים",4X4,1,1,--
270,ניסאן,Q30,PREMIUM,2018,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215,13.3,20.4,17.2,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,אין,--,442.5,180.5,149.5,270.0,430,--,1545,750,1400,235/50R18,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,0,1,יש,בד,אין,מלפנים,אין,רגילים,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,מראות צד + פנים,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,--,2X4,1,1,--
271,ניסאן,Q30,SPORT,2020,5,5,--,6,5702,--,--,2015,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1991,211,5500,35.7,1200,7.3,235,10.8,16.9,14,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,יש,אין,אין,אין,--,442.5,180.5,147.5,270.0,430,--,1579,750,1500,235/45R19,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,יש,בד משולב עור,אין,מלפנים,אין,LED,יש,יש,יש,אחוריים + קדמיים,היקפיות,יש,יש,אין,אין,אין,יש,מראות פנים,יש,אין,יש,יש,יש,יש,אין,אין,רגילים,אין,"פנסים עוקבי פניה, דוושות אלומיניום, מושבי ספורט, מתלים ספורטיביים, חלונות אחוריים כהים",4X4,1,1,--
272,ניסאן,Q30,PREMIUM,2017,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215,13.3,20.4,17.2,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,אין,--,442.5,180.5,147.5,270.0,430,--,1545,750,1400,235/50R18,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים מפוצלת,0,1,יש,בד,אין,מלפנים,אין,רגילים,יש,יש,אין,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,אין,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,--,2X4,1,1,--
273,ניסאן,Q30,LUXE,2021,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,25.5,1250,8.9,215,--,--,13.1,--,--,--,--,--,14,14,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,אין,יש,אין,אין,--,442.5,180.5,149.5,270.0,430,--,1541,750,1400,235/50R18,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,0,1,יש,בד,אין,מלפנים,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,אין,יש,מראות פנים,יש,אין,יש,יש,יש,יש,אין,אין,רגילים,אין,--,2X4,1,1,--
274,ניסאן,Q30,SPORT,2019,5,5,--,5,--,--,--,2015,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1595,156,5300,26.5,1750,8.9,215,13.3,19.6,17.2,--,--,--,--,--,8,8,ABS + EBD + BAS,7,יש,יש,יש,1,1,יש,0,0,0,התרעה בלבד,אין,אין,אין,אין,יש,יש,אין,אין,--,442.5,180.5,147.5,270.0,430,--,1573,750,1400,235/45R19,50,מקורית + שליטה מההגה,יש,אין,יש,7,אין,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,יש,בד משולב עור,אין,מלפנים,אין,LED,יש,יש,יש,אחוריים,אחורית,אין,יש,אין,אין,אין,יש,מראות צד + פנים,יש,אין,אין,יש,יש,יש,אין,אין,רגילים,אין,"פנסים עוקבי פניה, דוושות אלומיניום, מושבי ספורט, מערכת שמע משודרגת מתוצרת BOSE",2X4,1,1,--
275,ניסאן,FX37,,2009,5,5,--,7,--,--,אחודה,2007,כפולה (4X4),אוטומטית - טיפטרוניק,7,בנזין,6,3696,320,7000,36.7,2000,6.8,235,--,--,8.3,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,486.5,192.5,168.0,288.5,410,1305,2012,0,0,265/50R21,90,מקורית + שליטה מההגה,יש,אין,אין,--,אין,אין,--,--,אין,4,בקרת אקלים + פתחי איוורור מאחור,1,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,יש,אחוריים,אין,אין,יש,--,--,אין,יש,אופציונלי,אין,--,--,--,--,--,--,--,--,--,--,4X4,1,1,"מערכת ניווט לוויינית עם מסך מגע, מערכת איתור לוויינית (פוינטר), בקרת שיוט חכמה, מערכת שמע משודרגת, מצלמה היקפית, צבע מטאלי"
