,dmake,dmodel,dyear,tozeret_cd,model_cd
35000,Nissan,X TRAIL,2021,624,110
35001,Nissan,X TRAIL,2021,624,112
35002,Nissan,X TRAIL,2021,624,113
35003,Nissan,X TRAIL,2021,624,116
35004,Nissan,X TRAIL,2021,624,117
35005,Nissan,X TRAIL,2021,624,118
35006,Nissan,X TRAIL,2021,624,122
35007,Nissan,X TRAIL,2021,624,123
35008,Nissan,X TRAIL,2021,624,124
35009,Nissan,X TRAIL,2021,624,125
35010,Nissan,X TRAIL,2021,624,126
35011,Nissan,X TRAIL,2021,624,127
35012,Nissan,X TRAIL,2021,624,130
35013,Nissan,X TRAIL,2021,624,132
35014,Nissan,X TRAIL,2021,624,133
35015,Nissan,X TRAIL,2021,624,134
35016,Nissan,X TRAIL,2021,624,135
35017,Nissan,X TRAIL,2021,624,137
35018,Nissan,X TRAIL,2021,624,138
35019,Nissan,X TRAIL,2021,624,139
35020,Nissan,X TRAIL,2021,624,140
35021,Nissan,X TRAIL,2021,624,142
35022,Nissan,X TRAIL,2021,624,143
35023,Nissan,X TRAIL,2021,624,144
35024,Nissan,X TRAIL,2021,624,145
35025,Nissan,X TRAIL,2021,624,146
35026,Nissan,X TRAIL,2021,624,147
35027,Nissan,X TRAIL,2021,624,148
35028,Nissan,X TRAIL,2022,624,147
35029,Nissan,X TRAIL,2022,624,148
35052,Ssangyong,230-RX-REXTON?,2004,712,100
35053,Ssangyong,290-RX-REXTON?,2004,712,500
35054,Ssangyong,290-RX-REXTON?,2004,712,600
35055,Ssangyong,290-RX-REXTON?,2005,712,500
35056,Ssangyong,290-RX-REXTON?,2005,712,600
35057,Ssangyong,290-RX-REXTON?,2006,712,600
35058,Ssangyong,320-RX-REXTON?,2004,712,800
35059,Ssangyong,320-RX-REXTON?,2005,712,800
35060,Ssangyong,320-RX-REXTON?,2006,712,800
35061,Ssangyong,320-RX-REXTON?,2007,712,800
35062,Ssangyong,320-RX-REXTON?,2007,712,801
35063,Ssangyong,KORANDO,2004,712,300
35064,Ssangyong,602LA-MUSSO?,2004,712,200
35065,Ssangyong,662LA-KORANDO?,2004,712,110
35066,Ssangyong,662LA-KORANDO?,2005,712,110
35067,Ssangyong,662LA-KORANDO?,2006,712,110
35068,Ssangyong,ACTY0N?,2007,712,121
35069,Ssangyong,ACTY0N?,2007,712,122
35070,Ssangyong,ACTY0N?,2008,712,122
35071,Ssangyong,ACTY0N?,2009,712,122
35072,Ssangyong,ACTY0N?,2010,712,122
35073,Ssangyong,ACTY0N?,2011,712,122
35074,Ssangyong,ACTYON-SPORT?,2016,712,5
35075,Ssangyong,ACTYON-SPORT?,2016,712,7
35076,Ssangyong,ACTYON-SPORT?,2016,712,8
35077,Ssangyong,ACTYON-SPORT?,2017,712,5
35078,Ssangyong,ACTYON-SPORT?,2017,712,7
35079,Ssangyong,ACTYON-SPORT?,2017,712,8
35080,Ssangyong,ACTYON-SPORT?,2018,712,5
35081,Ssangyong,ACTYON-SPORT?,2018,712,7
35082,Ssangyong,ACTYON-SPORT?,2018,712,8
35083,Ssangyong,ACTYON-SPORTS?,2013,712,1
35084,Ssangyong,ACTYON-SPORTS?,2013,712,2
35085,Ssangyong,ACTYON-SPORTS?,2013,712,3
35086,Ssangyong,ACTYON-SPORTS?,2013,712,6
35087,Ssangyong,ACTYON-SPORTS?,2014,712,3
35088,Ssangyong,ACTYON-SPORTS?,2014,712,4
35089,Ssangyong,ACTYON-SPORTS?,2014,712,6
35090,Ssangyong,ACTYON-SPORTS?,2015,712,3
35091,Ssangyong,ACTYON-SPORTS?,2015,712,6
35092,Ssangyong,ACTYON-SPORTS?,2016,712,3
35093,Ssangyong,ACTYON-SPORTS?,2016,712,6
35094,Ssangyong,ACTYON-SPORTS?,2017,712,3
35095,Ssangyong,ACTYON-SPORTS?,2017,712,6
35096,Ssangyong,ACTYON-SPORTS?,2018,712,6
35097,Ssangyong,ACTYON-TRUCK?,2007,712,15
35098,Ssangyong,ACTYON-TRUCK?,2008,712,15
35099,Ssangyong,ACTYON-TRUCK?,2009,712,15
35100,Ssangyong,ACTYON-TRUCK?,2010,712,15
35101,Ssangyong,ACTYON-TRUCK?,2011,712,15
35102,Ssangyong,ACTYON-TRUCK?,2012,712,15
35103,Ssangyong,CHERMAN?,2006,712,101
35104,Ssangyong,KORAND0-C200?,2011,712,11
35105,Ssangyong,KORAND0-C200?,2011,712,191
35106,Ssangyong,KORAND0-C200?,2011,712,201
35107,Ssangyong,KORAND0-C200?,2012,712,11
35108,Ssangyong,KORAND0-C200?,2012,712,191
35109,Ssangyong,KORAND0-C200?,2012,712,201
35110,Ssangyong,KORANDO,2020,712,23
35111,Ssangyong,KORANDO,2020,712,24
35112,Ssangyong,KORANDO,2021,712,23
35113,Ssangyong,KORANDO,2021,712,24
35114,Ssangyong,KORANDO,2022,712,24
35115,Ssangyong,KYRON?,2006,712,12
35116,Ssangyong,KYRON?,2007,712,12
35117,Ssangyong,KYRON?,2007,712,14
35118,Ssangyong,KYRON?,2008,712,12
35119,Ssangyong,KYRON?,2008,712,111
35120,Ssangyong,KYRON?,2009,712,111
35121,Ssangyong,KYRON?,2010,712,181
35122,Ssangyong,MUSSO?,2004,712,20
35123,Ssangyong,MUSSO?,2005,712,20
35124,Ssangyong,MUSSO?,2005,712,40
35125,Ssangyong,MUSSO?,2006,712,20
35126,Ssangyong,MUSSO?,2018,712,16
35127,Ssangyong,MUSSO?,2019,712,16
35128,Ssangyong,MUSSO?,2020,712,18
35129,Ssangyong,OSSUM-פיק-אפ?,2004,712,10
35130,Ssangyong,OSSUM-פיק-אפ?,2005,712,10
35131,Ssangyong,OSSUM-פיק-אפ?,2005,712,60
35132,Ssangyong,OSSUM-פיק-אפ?,2006,712,10
35133,Ssangyong,OSSUM-פיק-אפ?,2006,712,60
35134,Ssangyong,REXTON?,2004,712,50
35135,Ssangyong,REXTON?,2005,712,50
35136,Ssangyong,REXTON?,2005,712,400
35137,Ssangyong,REXTON?,2006,712,50
35138,Ssangyong,REXTON?,2006,712,400
35139,Ssangyong,REXTON?,2006,712,211
35140,Ssangyong,REXTON?,2007,712,50
35141,Ssangyong,REXTON?,2007,712,51
35142,Ssangyong,REXTON?,2007,712,400
35143,Ssangyong,REXTON?,2007,712,401
35144,Ssangyong,REXTON?,2008,712,51
35145,Ssangyong,REXTON?,2008,712,401
35146,Ssangyong,REXTON?,2008,712,141
35147,Ssangyong,REXTON?,2008,712,151
35148,Ssangyong,REXTON?,2008,712,211
35149,Ssangyong,REXTON?,2009,712,141
35150,Ssangyong,REXTON?,2009,712,211
35151,Ssangyong,REXTON?,2010,712,171
35152,Ssangyong,REXTON?,2011,712,171
35153,Ssangyong,REXTON?,2012,712,171
35154,Ssangyong,REXTON?,2013,712,23
35155,Ssangyong,REXTON?,2013,712,4
35156,Ssangyong,REXTON?,2014,712,23
35157,Ssangyong,REXTON?,2014,712,4
35158,Ssangyong,REXTON?,2014,712,5
35159,Ssangyong,REXTON?,2015,712,23
35160,Ssangyong,REXTON?,2015,712,4
