,dmake,dmodel,dyear,tozeret_cd,model_cd
60000,Renault,FLUENCE ZE,2015,771,113
60001,Renault,FLUENCE ZE,2015,771,114
60002,Renault,FLUENCE ZE,2015,771,115
60003,Renault,FLUENCE ZE,2015,771,116
60004,Renault,FLUENCE ZE,2015,771,117
60005,Renault,FLUENCE ZE,2015,771,118
60006,Renault,FLUENCE ZE,2015,771,145
60007,Renault,FLUENCE ZE,2015,771,147
60008,Renault,FLUENCE ZE,2015,771,148
60009,Renault,FLUENCE ZE,2015,771,149
60010,Renault,FLUENCE ZE,2015,771,150
60011,Renault,FLUENCE ZE,2015,771,153
60012,Renault,FLUENCE ZE,2015,771,154
60013,Renault,FLUENCE ZE,2015,771,155
60014,Renault,FLUENCE ZE,2015,771,156
60015,Renault,FLUENCE ZE,2015,771,158
60016,Renault,FLUENCE ZE,2015,771,159
60017,Renault,FLUENCE ZE,2015,771,160
60018,Renault,FLUENCE ZE,2015,771,162
60019,Renault,FLUENCE ZE,2015,771,164
60020,Renault,FLUENCE ZE,2015,771,165
60021,Renault,FLUENCE ZE,2015,771,186
60022,Renault,FLUENCE ZE,2015,771,187
60023,Renault,FLUENCE ZE,2015,771,188
60024,Renault,FLUENCE ZE,2015,771,189
60025,Renault,FLUENCE ZE,2015,771,190
60026,Renault,FLUENCE ZE,2015,771,611
60027,Renault,FLUENCE ZE,2015,771,681
60028,Renault,FLUENCE ZE,2016,771,66
60029,Renault,FLUENCE ZE,2016,771,107
60030,Renault,FLUENCE ZE,2016,771,109
60031,Renault,FLUENCE ZE,2016,771,118
60032,Renault,FLUENCE ZE,2016,771,145
60033,Renault,FLUENCE ZE,2016,771,147
60034,Renault,FLUENCE ZE,2016,771,149
60035,Renault,FLUENCE ZE,2016,771,153
60036,Renault,FLUENCE ZE,2016,771,155
60037,Renault,FLUENCE ZE,2016,771,156
60038,Renault,FLUENCE ZE,2016,771,158
60039,Renault,FLUENCE ZE,2016,771,159
60040,Renault,FLUENCE ZE,2016,771,160
60041,Renault,FLUENCE ZE,2016,771,164
60042,Renault,FLUENCE ZE,2016,771,186
60043,Renault,FLUENCE ZE,2016,771,187
60044,Renault,FLUENCE ZE,2016,771,188
60045,Renault,FLUENCE ZE,2016,771,189
60046,Renault,FLUENCE ZE,2016,771,193
60047,Renault,FLUENCE ZE,2016,771,194
60048,Renault,FLUENCE ZE,2016,771,195
60049,Renault,FLUENCE ZE,2016,771,196
60050,Renault,FLUENCE ZE,2016,771,197
60051,Renault,FLUENCE ZE,2016,771,198
60052,Renault,FLUENCE ZE,2016,771,199
60053,Renault,FLUENCE ZE,2016,771,611
60054,Renault,FLUENCE ZE,2016,771,681
60055,Renault,FLUENCE ZE,2017,771,187
60056,Renault,FLUENCE ZE,2017,771,188
60057,Renault,FLUENCE ZE,2017,771,195
60058,Renault,FLUENCE ZE,2017,771,196
60059,Renault,FLUENCE ZE,2017,771,197
60060,Renault,FLUENCE ZE,2017,771,198
60061,Renault,FLUENCE ZE,2017,771,199
60062,Renault,FLUENCE ZE,2018,771,196
60063,Renault,FLUENCE-Z.E.?,2011,771,571
60064,Renault,FLUENCE-Z.E.?,2011,771,581
60065,Renault,FLUENCE-Z.E.?,2011,771,631
60066,Renault,FLUENCE-Z.E.?,2011,771,641
60067,Renault,FLUENCE-Z.E.?,2012,771,631
60068,Renault,FLUENCE-Z.E.?,2012,771,641
60069,Renault,FLUENCE-Z.E.?,2013,771,631
60070,Renault,FLUENCE-Z.E.?,2013,771,641
60071,Renault,FLUENCE-Z.E.?,2014,771,631
60072,Renault,FLUENCE-Z.E.?,2014,771,641
60073,Renault,MEGANE GRAND SCENIC,2005,928,51
60074,Renault,MEGANE GRAND SCENIC,2005,928,131
60075,Renault,MEGANE GRAND SCENIC,2005,928,661
60076,Renault,MEGANE GRAND SCENIC,2006,928,51
60077,Renault,MEGANE GRAND SCENIC,2006,928,131
60078,Renault,MEGANE GRAND SCENIC,2007,928,51
60079,Renault,MEGANE GRAND SCENIC,2007,928,52
60080,Renault,MEGANE GRAND SCENIC,2007,928,201
60081,Renault,MEGANE GRAND SCENIC,2007,928,202
60082,Renault,MEGANE GRAND SCENIC,2008,928,202
60083,Renault,MEGANE GRAND SCENIC,2009,928,202
60084,Renault,MEGANE GRAND SCENIC,2010,928,441
60085,Renault,MEGANE GRAND SCENIC,2011,928,441
60086,Renault,MEGANE GRAND SCENIC,2012,928,441
60087,Renault,MEGANE GRAND SCENIC,2013,928,441
60088,Renault,GRAND-COUPE?,2017,771,215
60089,Renault,GRAND-COUPE?,2017,771,216
60090,Renault,GRAND-COUPE?,2017,771,217
60091,Renault,GRAND-COUPE?,2017,771,218
60092,Renault,GRAND-COUPE?,2017,771,219
60093,Renault,GRAND-COUPE?,2017,771,220
60094,Renault,GRAND-COUPE?,2017,771,223
60095,Renault,GRAND-COUPE?,2017,771,224
60096,Renault,GRAND-COUPE?,2017,771,225
60097,Renault,GRAND-COUPE?,2017,771,229
60098,Renault,GRAND-COUPE?,2018,771,218
60099,Renault,GRAND-COUPE?,2018,771,219
60100,Renault,GRAND-COUPE?,2018,771,220
60101,Renault,GRAND-COUPE?,2018,771,223
60102,Renault,GRAND-COUPE?,2018,771,224
60103,Renault,GRAND-COUPE?,2018,771,225
60104,Renault,GRAND-COUPE?,2018,771,240
60105,Renault,GRAND-COUPE?,2018,771,243
60106,Renault,GRAND-COUPE?,2018,771,244
60107,Renault,GRAND-COUPE?,2018,771,245
60108,Renault,GRAND-COUPE?,2019,771,219
60109,Renault,GRAND-COUPE?,2019,771,223
60110,Renault,GRAND-COUPE?,2019,771,245
60111,Renault,MEGANE GRAND SCENIC,2011,928,471
60112,Renault,MEGANE GRAND SCENIC,2011,928,481
60113,Renault,MEGANE GRAND SCENIC,2012,928,7
60114,Renault,MEGANE GRAND SCENIC,2012,928,8
60115,Renault,MEGANE GRAND SCENIC,2012,928,9
60116,Renault,MEGANE GRAND SCENIC,2012,928,12
60117,Renault,MEGANE GRAND SCENIC,2012,928,471
60118,Renault,MEGANE GRAND SCENIC,2012,928,481
60119,Renault,MEGANE GRAND SCENIC,2013,928,7
60120,Renault,MEGANE GRAND SCENIC,2013,928,8
60121,Renault,MEGANE GRAND SCENIC,2013,928,9
60122,Renault,MEGANE GRAND SCENIC,2013,928,12
60123,Renault,MEGANE GRAND SCENIC,2013,928,19
60124,Renault,MEGANE GRAND SCENIC,2013,928,471
60125,Renault,MEGANE GRAND SCENIC,2014,928,7
60126,Renault,MEGANE GRAND SCENIC,2014,928,8
60127,Renault,MEGANE GRAND SCENIC,2014,928,12
60128,Renault,MEGANE GRAND SCENIC,2014,928,19
60129,Renault,MEGANE GRAND SCENIC,2014,928,33
60130,Renault,MEGANE GRAND SCENIC,2014,928,36
60131,Renault,MEGANE GRAND SCENIC,2015,928,36
60132,Renault,MEGANE GRAND SCENIC,2015,928,39
60133,Renault,MEGANE GRAND SCENIC,2015,928,43
60134,Renault,MEGANE GRAND SCENIC,2015,928,44
60135,Renault,MEGANE GRAND SCENIC,2015,928,49
60136,Renault,MEGANE GRAND SCENIC,2015,928,53
60137,Renault,MEGANE GRAND SCENIC,2016,928,44
60138,Renault,MEGANE GRAND SCENIC,2016,928,49
60139,Renault,MEGANE GRAND SCENIC,2016,928,53
60140,Renault,MEGANE GRAND SCENIC,2016,928,56
60141,Renault,MEGANE GRAND SCENIC,2016,928,58
60142,Renault,MEGANE GRAND SCENIC,2017,928,56
60143,Renault,MEGANE GRAND SCENIC,2019,928,103
60144,Renault,MEGANE GRAND SCENIC,2019,928,105
60145,Renault,MEGANE GRAND SCENIC,2019,928,106
60146,Renault,MEGANE GRAND SCENIC,2019,928,112
60147,Renault,MEGANE GRAND SCENIC,2020,928,105
60148,Renault,MEGANE GRAND SCENIC,2020,928,106
60149,Renault,MEGANE GRAND SCENIC,2020,928,108
60150,Renault,MEGANE GRAND SCENIC,2020,928,112
60151,Renault,MEGANE GRAND SCENIC,2021,928,105
60152,Renault,MEGANE GRAND SCENIC,2021,928,106
60153,Renault,MEGANE GRAND SCENIC,2021,928,112
60154,Renault,KADJAR,2015,940,62
60155,Renault,KADJAR,2016,940,62
60156,Renault,KADJAR,2016,940,72
60157,Renault,KADJAR,2016,940,73
60158,Renault,KADJAR,2016,940,74
60159,Renault,KADJAR,2016,940,75
60160,Renault,KADJAR,2016,940,76
60161,Renault,KADJAR,2016,940,77
60162,Renault,KADJAR,2016,940,78
60163,Renault,KADJAR,2016,940,79
60164,Renault,KADJAR,2016,940,82
60165,Renault,KADJAR,2016,940,83
60166,Renault,KADJAR,2016,940,84
60167,Renault,KADJAR,2016,940,94
60168,Renault,KADJAR,2016,940,431
60169,Renault,KADJAR,2017,940,72
60170,Renault,KADJAR,2017,940,73
60171,Renault,KADJAR,2017,940,74
60172,Renault,KADJAR,2017,940,75
60173,Renault,KADJAR,2017,940,77
60174,Renault,KADJAR,2017,940,78
60175,Renault,KADJAR,2017,940,79
60176,Renault,KADJAR,2017,940,82
60177,Renault,KADJAR,2017,940,83
60178,Renault,KADJAR,2017,940,93
60179,Renault,KADJAR,2017,940,94
60180,Renault,KADJAR,2017,940,108
60181,Renault,KADJAR,2017,940,113
60182,Renault,KADJAR,2017,940,114
60183,Renault,KADJAR,2017,940,115
60184,Renault,KADJAR,2018,940,72
60185,Renault,KADJAR,2018,940,73
60186,Renault,KADJAR,2018,940,75
60187,Renault,KADJAR,2018,940,78
60188,Renault,KADJAR,2018,940,83
60189,Renault,KADJAR,2018,940,93
60190,Renault,KADJAR,2018,940,94
60191,Renault,KADJAR,2018,940,113
60192,Renault,KADJAR,2018,940,114
60193,Renault,KADJAR,2018,940,115
60194,Renault,KADJAR,2018,940,122
60195,Renault,KADJAR,2018,940,129
60196,Renault,KADJAR,2018,940,132
60197,Renault,KADJAR,2018,940,133
60198,Renault,KADJAR,2018,940,135
60199,Renault,KADJAR,2018,940,142
60200,Renault,KADJAR,2019,940,75
60201,Renault,KADJAR,2019,940,83
60202,Renault,KADJAR,2019,940,114
60203,Renault,KADJAR,2019,940,122
60204,Renault,KADJAR,2019,940,132
60205,Renault,KADJAR,2019,940,133
60206,Renault,KADJAR,2019,940,139
60207,Renault,KADJAR,2019,940,142
60208,Renault,KADJAR,2019,940,145
60209,Renault,KADJAR,2020,940,145
60210,Renault,KADJAR,2021,940,145
60211,Renault,KANGOO,2004,928,74
60212,Renault,KANGOO,2004,928,250
60213,Renault,KANGOO,2004,928,260
60214,Renault,KANGOO,2004,928,270
60215,Renault,KANGOO,2004,928,280
60216,Renault,KANGOO,2004,928,1200
60217,Renault,KANGOO,2005,928,74
60218,Renault,KANGOO,2005,928,100
60219,Renault,KANGOO,2005,928,150
60220,Renault,KANGOO,2005,928,260
60221,Renault,KANGOO,2005,928,270
60222,Renault,KANGOO,2005,928,1200
60223,Renault,KANGOO,2006,928,12
60224,Renault,KANGOO,2006,928,74
60225,Renault,KANGOO,2006,928,100
60226,Renault,KANGOO,2006,928,150
60227,Renault,KANGOO,2006,928,260
60228,Renault,KANGOO,2006,928,270
60229,Renault,KANGOO,2006,928,1200
60230,Renault,KANGOO,2007,928,12
60231,Renault,KANGOO,2007,928,13
60232,Renault,KANGOO,2007,928,15
60233,Renault,KANGOO,2007,928,16
60234,Renault,KANGOO,2007,928,79
60235,Renault,KANGOO,2007,928,86
60236,Renault,KANGOO,2007,928,20
60237,Renault,KANGOO,2007,928,30
60238,Renault,KANGOO,2007,928,221
60239,Renault,KANGOO,2008,928,20
60240,Renault,KANGOO,2008,928,70
60241,Renault,KANGOO,2008,928,221
60242,Renault,KANGOO,2009,928,70
60243,Renault,KANGOO,2009,928,221
60244,Renault,KANGOO,2010,928,14
60245,Renault,KANGOO,2010,928,17
60246,Renault,KANGOO,2010,928,18
60247,Renault,KANGOO,2010,928,19
60248,Renault,KANGOO,2010,928,23
60249,Renault,KANGOO,2011,928,14
60250,Renault,KANGOO,2011,928,17
60251,Renault,KANGOO,2011,928,18
60252,Renault,KANGOO,2011,928,19
60253,Renault,KANGOO,2011,928,21
60254,Renault,KANGOO,2011,928,22
60255,Renault,KANGOO,2011,928,23
60256,Renault,KANGOO,2012,928,14
60257,Renault,KANGOO,2012,928,17
60258,Renault,KANGOO,2012,928,18
60259,Renault,KANGOO,2012,928,19
60260,Renault,KANGOO,2012,928,21
60261,Renault,KANGOO,2012,928,22
60262,Renault,KANGOO,2012,928,23
60263,Renault,KANGOO,2012,928,1
60264,Renault,KANGOO,2012,928,2
60265,Renault,KANGOO,2012,928,3
60266,Renault,KANGOO,2012,928,4
60267,Renault,KANGOO,2012,928,5
60268,Renault,KANGOO,2012,928,6
60269,Renault,KANGOO,2013,928,1
60270,Renault,KANGOO,2013,928,2
60271,Renault,KANGOO,2013,928,3
60272,Renault,KANGOO,2013,928,4
60273,Renault,KANGOO,2013,928,5
60274,Renault,KANGOO,2013,928,6
60275,Renault,KANGOO,2013,928,16
60276,Renault,KANGOO,2013,928,17
60277,Renault,KANGOO,2013,928,18
60278,Renault,KANGOO,2013,928,24
60279,Renault,KANGOO,2013,928,25
60280,Renault,KANGOO,2013,928,26
60281,Renault,KANGOO,2013,928,27
60282,Renault,KANGOO,2013,928,130
60283,Renault,KANGOO,2014,928,4
60284,Renault,KANGOO,2014,928,5
60285,Renault,KANGOO,2014,928,6
60286,Renault,KANGOO,2014,928,16
60287,Renault,KANGOO,2014,928,17
60288,Renault,KANGOO,2014,928,18
60289,Renault,KANGOO,2014,928,24
60290,Renault,KANGOO,2014,928,25
