,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,video_url
67,Mazda,CX-5,2017,5,95%,80%,78%,59%,https://www.youtube.com/embed/yqg8c7ao7uE
68,Land-Rover,RANGE-ROVER-VELAR?,2017,5,93%,85%,74%,72%,https://www.youtube.com/embed/Vz1x-GFI4ng
69,Volkswagen,T-ROC?,2017,5,96%,87%,79%,71%,https://www.youtube.com/embed/amhH_XWPVJw
70,Opel,CROSSLAND X,2017,5,85%,84%,62%,57%,https://www.youtube.com/embed/qCfDT3Qtrzk
71,Mitsubishi,ECLIPSE CROSS,2017,5,97%,78%,80%,71%,https://www.youtube.com/embed/V7n_0BAH4Qs
72,Citroen,C3 AIRCROSS,2017,5,85%,82%,64%,60%,https://www.youtube.com/embed/8317m7gPlGs
73,Mercedes,X-CLASS,2017,5,90%,87%,80%,77%,https://www.youtube.com/embed/akbJNwPSKY4
74,Jaguar,E-PACE,2017,5,86%,87%,77%,72%,https://www.youtube.com/embed/v0kelR06LPU
75,DS,7-CROSSBACK?,2017,5,91%,87%,73%,76%,https://www.youtube.com/embed/ZIewvVZ4Ma0
76,Citroen,E-MEHARI,2017,3,74%,78%,48%,25%,https://www.youtube.com/embed/MPDkCqokAHY
77,BMW,X3,2017,5,93%,84%,70%,58%,https://www.youtube.com/embed/2CF5x0Ix51c
78,BMW,X4,2017,5,93%,84%,70%,58%,https://www.youtube.com/embed/2CF5x0Ix51c
79,Opel,KARL?,2017,3,61%,60%,58%,25%,https://www.youtube.com/embed/Z0es0scUPME
80,Jaguar,F-PACE,2017,5,93%,85%,80%,72%,https://www.youtube.com/embed/SD15DP3RLW4
81,Ford,GRAND-C-MAX?,2017,3,76%,60%,59%,29%,https://www.youtube.com/embed/1wi_yXVP76U
82,Ford,C-MAX?,2017,3,76%,60%,59%,29%,https://www.youtube.com/embed/1wi_yXVP76U
83,BMW,6 SERIES,2017,5,86%,85%,81%,59%,https://www.youtube.com/embed/6RQoj3aI0EQ
84,Alfa-Romeo,GIULIETTA,2017,3,72%,56%,59%,25%,https://www.youtube.com/embed/9OA5O3uJGF4
85,Ford,TOURNEO CONNECT,2018,4,92%,79%,65%,75%,https://www.youtube.com/embed/5p7qVSg_6-E
86,Opel,COMBO,2018,4,91%,81%,58%,68%,https://www.youtube.com/embed/esfiTax8mAk
87,Mercedes,A-CLASS,2018,5,96%,91%,92%,75%,https://www.youtube.com/embed/aT9KJ03-jDA
88,Jaguar,I-PACE?,2018,5,91%,81%,73%,81%,https://www.youtube.com/embed/1cxn3TfziE0
89,Hyundai,SANTA FE,2018,5,94%,88%,67%,76%,https://www.youtube.com/embed/u3KBRi2kYyY
90,Toyota,PROACE CITY,2018,4,91%,81%,58%,68%,https://www.youtube.com/embed/y40OEYoPBZ8
91,Mercedes,G-CLASS,2019,5,90%,83%,78%,72%,https://www.youtube.com/embed/oKYyRWFuhas
92,Honda,CR-V,2019,5,93%,83%,70%,76%,https://www.youtube.com/embed/GIaZ39UY9II
93,Land-Rover,ROVER EVOQUE,2019,5,94%,87%,72%,73%,https://www.youtube.com/embed/1xOKGjMRF1Q
94,Citroen,C5 AIRCROSS,2019,5,89%,86%,67%,82%,https://www.youtube.com/embed/ySKq9yl1e60
95,Citroen,C5 AIRCROSS,2019,4,87%,86%,58%,75%,https://www.youtube.com/embed/ySKq9yl1e60
96,Volkswagen,T-CROSS,2019,5,97%,86%,81%,80%,https://www.youtube.com/embed/1124HsYcWUk
97,Audi,e-tron,2019,5,91%,85%,71%,76%,https://www.youtube.com/embed/Go0_PztwYeE
98,Tesla,MODEL-3,2019,5,96%,86%,74%,94%,https://www.youtube.com/embed/cMiZa3HgRVE
99,Mercedes,GLE,2019,5,91%,90%,78%,78%,https://www.youtube.com/embed/16FH8QrENFw
100,Mercedes,B-CLASS,2019,5,96%,90%,78%,75%,https://www.youtube.com/embed/LXiKuxpyhE0
