,dmake,dmodel,dyear,tozeret_cd,model_cd
5000,Opel,ZAFIRA TOURER,2015,33,77
5001,Opel,ZAFIRA TOURER,2016,33,28
5002,Opel,ZAFIRA TOURER,2016,33,57
5003,Opel,ZAFIRA TOURER,2016,33,77
5004,Opel,ZAFIRA TOURER,2016,33,86
5005,Opel,ZAFIRA TOURER,2016,33,87
5006,Opel,ZAFIRA TOURER,2016,33,92
5007,Opel,ZAFIRA TOURER,2017,33,86
5008,Opel,ZAFIRA TOURER,2017,33,92
5009,Opel,ZAFIRA TOURER,2018,33,92
5010,Opel,ZAFIRA TOURER,2019,33,86
5011,Opel,ZAFIRA TOURER,2019,33,92
5026,Isuzu,3500-SOMO?,2020,127,1
5027,Isuzu,D-MAX,2020,973,127
5028,Isuzu,D-MAX,2020,973,128
5029,Isuzu,D-MAX,2021,973,126
5030,Isuzu,D-MAX,2021,973,127
5031,Isuzu,D-MAX,2021,973,128
5032,Isuzu,D-MAX,2021,973,129
5033,Isuzu,D-MAX,2021,973,130
5034,Isuzu,D-MAX,2021,973,131
5035,Isuzu,D-MAX,2021,973,132
5036,Isuzu,D-MAX,2021,973,133
5037,Isuzu,D-MAX,2021,973,134
5038,Isuzu,D-MAX,2022,973,126
5039,Isuzu,D-MAX,2022,973,129
5040,Isuzu,D-MAX,2022,973,130
5041,Isuzu,D-MAX,2022,973,131
5042,Isuzu,D-MAX,2022,973,132
5043,Isuzu,D-MAX,2022,973,133
5044,Isuzu,D-MAX,2022,973,134
5045,Isuzu,D-MAX,2022,973,135
5046,Isuzu,D-MAX,2022,973,136
5047,Isuzu,D-MAX,2022,973,137
5048,Isuzu,D-MAX,2014,973,9
5049,Isuzu,D-MAX,2014,973,80
5050,Isuzu,D-MAX,2014,973,81
5051,Isuzu,D-MAX,2014,973,82
5052,Isuzu,D-MAX,2014,973,83
5053,Isuzu,D-MAX,2014,973,84
5054,Isuzu,D-MAX,2014,973,86
5055,Isuzu,D-MAX,2014,973,88
5056,Isuzu,D-MAX,2014,973,89
5057,Isuzu,D-MAX,2014,973,91
5058,Isuzu,D-MAX,2014,973,92
5059,Isuzu,D-MAX,2014,973,93
5060,Isuzu,D-MAX,2014,973,94
5061,Isuzu,D-MAX,2014,973,95
5062,Isuzu,D-MAX,2014,973,96
5063,Isuzu,D-MAX,2014,973,97
5064,Isuzu,D-MAX,2014,973,106
5065,Isuzu,D-MAX,2014,973,111
5066,Isuzu,D-MAX,2014,973,112
5067,Isuzu,D-MAX,2014,973,115
5068,Isuzu,D-MAX,2015,973,80
5069,Isuzu,D-MAX,2015,973,81
5070,Isuzu,D-MAX,2015,973,83
5071,Isuzu,D-MAX,2015,973,84
