,dmake,dmodel,dyear,tozeret_cd,model_cd
20000,Jaguar,S-TYPE-3.0?,2006,465,3521
20001,Jaguar,S-TYPE-3.0?,2007,465,881
20002,Jaguar,S-TYPE-3.0?,2007,465,882
20003,Jaguar,S-TYPE-3.0?,2007,465,891
20004,Jaguar,S-TYPE-3.0?,2007,465,892
20005,Jaguar,S-TYPE-3.0?,2007,465,901
20006,Jaguar,S-TYPE-3.0?,2007,465,902
20007,Jaguar,S-TYPE-3.0?,2007,465,931
20008,Jaguar,S-TYPE-3.0?,2007,465,932
20009,Jaguar,S-TYPE-3.0?,2008,465,882
20010,Jaguar,S-TYPE-3.0?,2008,465,892
20011,Jaguar,S-TYPE-3.0?,2008,465,902
20012,Jaguar,S-TYPE-3.0?,2008,465,932
20013,Jaguar,S-TYPE-4.2?,2004,465,411
20014,Jaguar,S-TYPE-4.2?,2004,465,421
20015,Jaguar,S-TYPE-4.2?,2004,465,431
20016,Jaguar,S-TYPE-4.2?,2004,465,3411
20017,Jaguar,S-TYPE-4.2?,2004,465,3421
20018,Jaguar,S-TYPE-4.2?,2004,465,3431
20019,Jaguar,S-TYPE-4.2?,2005,465,411
20020,Jaguar,S-TYPE-4.2?,2005,465,421
20021,Jaguar,S-TYPE-4.2?,2005,465,431
20022,Jaguar,S-TYPE-4.2?,2005,465,3411
20023,Jaguar,S-TYPE-4.2?,2005,465,3421
20024,Jaguar,S-TYPE-4.2?,2005,465,3431
20025,Jaguar,S-TYPE-4.2?,2006,465,411
20026,Jaguar,S-TYPE-4.2?,2006,465,431
20027,Jaguar,S-TYPE-4.2?,2006,465,3411
20028,Jaguar,S-TYPE-4.2?,2006,465,3431
20029,Jaguar,S-TYPE-4.2?,2007,465,941
20030,Jaguar,S-TYPE-4.2?,2007,465,942
20031,Jaguar,S-TYPE-4.2?,2007,465,951
20032,Jaguar,S-TYPE-4.2?,2007,465,952
20033,Jaguar,S-TYPE-4.2?,2007,465,961
20034,Jaguar,S-TYPE-4.2?,2007,465,962
20035,Jaguar,S-TYPE-4.2?,2007,465,971
20036,Jaguar,S-TYPE-4.2?,2007,465,972
20037,Jaguar,SUPER-V8-4.2?,2004,465,581
20038,Jaguar,SUPER-V8-4.2?,2004,465,591
20039,Jaguar,SUPER-V8-4.2?,2005,465,581
20040,Jaguar,SUPER-V8-4.2?,2005,465,591
20041,Jaguar,SUPER-V8-4.2?,2005,465,671
20042,Jaguar,SUPER-V8-4.2?,2005,465,681
